Tiempo(s)	Voltaje(V)
5.179999999999999716e+00	-4.759267203335184604e-01
5.190000000000000391e+00	-4.765701285505201668e-01
5.200000000000000178e+00	-4.756050162250176072e-01
5.209999999999999964e+00	-4.762484244420193136e-01
5.219999999999999751e+00	-4.759267203335184604e-01
5.230000000000000426e+00	-4.746399038995150477e-01
5.240000000000000213e+00	-4.749616080080159009e-01
5.250000000000000000e+00	-4.746399038995150477e-01
5.259999999999999787e+00	-4.733530874655116349e-01
5.269999999999999574e+00	-4.743181997910141945e-01
5.280000000000000249e+00	-4.730313833570107818e-01
5.290000000000000036e+00	-4.733530874655116349e-01
5.299999999999999822e+00	-4.723879751400090754e-01
5.309999999999999609e+00	-4.727096792485099286e-01
5.320000000000000284e+00	-4.727096792485099286e-01
5.330000000000000071e+00	-4.717445669230073690e-01
5.339999999999999858e+00	-4.707794545975048095e-01
5.349999999999999645e+00	-4.707794545975048095e-01
5.360000000000000320e+00	-4.711011587060056627e-01
5.370000000000000107e+00	-4.701360463805031031e-01
5.379999999999999893e+00	-4.694926381635013968e-01
5.389999999999999680e+00	-4.704577504890039563e-01
5.400000000000000355e+00	-4.691709340550005436e-01
5.410000000000000142e+00	-4.685275258379988372e-01
5.419999999999999929e+00	-4.685275258379988372e-01
5.429999999999999716e+00	-4.678841176209971309e-01
5.440000000000000391e+00	-4.682058217294979841e-01
5.450000000000000178e+00	-4.672407094039954245e-01
5.459999999999999964e+00	-4.665973011869937181e-01
5.469999999999999751e+00	-4.665973011869937181e-01
5.480000000000000426e+00	-4.662755970784928650e-01
5.490000000000000213e+00	-4.659538929699920118e-01
5.500000000000000000e+00	-4.608066272339783609e-01
5.509999999999999787e+00	-4.527640245214570314e-01
5.519999999999999574e+00	-4.347485944454092532e-01
5.530000000000000249e+00	-4.077254493313375860e-01
5.540000000000000036e+00	-3.864929781702812761e-01
5.549999999999999822e+00	-3.810240083257667720e-01
